location_name,latitude,longitude,grocery,restaurant,unreliable
Antoni 1 Grill & Catering,41.799706,-87.594513,0,1,0
Greater King David Baptist Church,41.804996,-87.619087,0,0,0
Nando's PERi PERi,41.799301,-87.589867,0,1,0
St Columban's Theologate,41.802052,-87.601112,0,0,0
First Tabernacle Community Church,41.804085,-87.614723,0,0,0
Ace Hardware,41.797321,-87.588173,0,0,0
Hyde Park Station and Car Wash,41.801384,-87.58812,0,0,0
Illuminating Technology,41.807068,-87.599709,0,0,0
Vineyard Church At Hyde Park,41.798306,-87.599266,0,0,0
Hyde Park Handyman,41.800907,-87.58651,0,0,0
Moorish Science Temple of America,41.801899,-87.617058,0,0,0
Jojayden,41.799385,-87.589653,0,0,0
Mccormick Theological Seminary,41.795948,-87.598824,0,0,0
Save-A-Lot,41.809288,-87.605614,1,0,0
Nile Restaurant,41.795322,-87.59716,0,1,0
Native Foods Caf????,41.800468,-87.588242,0,1,0
Hyde Park Manor Condominium Assoc,41.801205,-87.593231,0,0,0
Hyde Park Self Storage,41.800694,-87.60601,0,0,0
Ja Grill Hyde Park,41.800541,-87.588669,0,1,0
McDonald's,41.79504,-87.622948,0,1,0
Target,41.799782,-87.593674,0,0,0
Brown & Momen Inc,41.80114,-87.605331,0,0,0
Erie Vehicle Company,41.802513,-87.623917,0,0,0
O'Reilly Auto Parts,41.808861,-87.606186,0,0,0
Bill's Plumbing & Heating & Sewer,41.799957,-87.621338,0,0,0
Chicago Chorale,41.795952,-87.598457,0,0,0
Second Faith Temple Church of God In Christ,41.805981,-87.615181,0,0,0
Chicago Lake Shore Hotel,41.806072,-87.585739,0,0,0
Everybody's Busy Coffee,41.802235,-87.618919,0,1,0
CrossFit,41.80349,-87.621559,0,0,0
Design Principle International,41.803764,-87.613495,0,0,0
American Mattress,41.799927,-87.591423,0,0,0
Chicago Action Investors,41.798836,-87.588844,0,0,0
Croatian Ethnic Institute,41.806217,-87.603355,0,0,0
AT&T,41.800442,-87.587685,0,0,0
Chicago Public Library Blackstone Branch,41.805843,-87.590332,0,0,0
Forrestville Hyde Park Skyway Congregation of Jehovah Witnesses,41.802872,-87.62394,0,0,0
CVS,41.79987,-87.594749,0,0,0
Catholic Theological Union At Chicago,41.79776,-87.58593,0,0,0
Great Steak,41.801285,-87.588379,0,1,0
Valois,41.799824,-87.588333,0,1,0
CVS,41.799801,-87.594749,0,0,0
Divine Word Theologate,41.798298,-87.598854,0,0,0
Fr Tim Dodd,41.796394,-87.585014,0,0,0
The Promontory,41.799023,-87.587555,0,1,0
Charles Hayes Family Investment Center,41.806042,-87.624023,0,0,0
