location_name,latitude,longitude,grocery,restaurant,unreliable,crowded_place,crowded_grocery,crowded_restaurant,comp_to_grocery,hofd1,hofd2,hofd3,hofd4,hofd5,hofd6,dofw1,dofw2,dofw3
Antoni 1 Grill & Catering,41.799706,-87.594513,0.0,1.0,0,0.0,2.0,1.0,1.0,9.0,,,,,,0.0,3.0,5.0
Greater King David Baptist Church,41.804996,-87.619087,0.0,0.0,0,2.0,0.0,1.0,0.0,9.0,10.0,13.0,,,,,,
Nando's PERi PERi,41.799301,-87.589867,0.0,1.0,0,0.0,2.0,2.0,2.0,,,,,,,1.0,,
St Columban's Theologate,41.802052,-87.601112,0.0,0.0,0,1.0,1.0,1.0,0.0,9.0,10.0,13.0,,,,1.0,2.0,5.0
First Tabernacle Community Church,41.804085,-87.614723,0.0,0.0,0,0.0,1.0,0.0,1.0,8.0,,,,,,1.0,,
Ace Hardware,41.797321000000004,-87.588173,0.0,0.0,0,1.0,1.0,1.0,0.0,,,,,,,1.0,3.0,5.0
Hyde Park Station and Car Wash,41.801384000000006,-87.58811999999999,0.0,0.0,0,1.0,1.0,2.0,0.0,9.0,11.0,,,,,0.0,,
Illuminating Technology,41.807068,-87.59970899999999,0.0,0.0,0,1.0,1.0,1.0,1.0,9.0,,,,,,0.0,,
Vineyard Church At Hyde Park,41.798306,-87.599266,0.0,0.0,0,2.0,0.0,1.0,0.0,,,,,,,,,
Hyde Park Handyman,41.800907,-87.58651,0.0,0.0,0,1.0,2.0,0.0,1.0,,,,,,,0.0,,
Moorish Science Temple of America,41.801899,-87.617058,0.0,0.0,0,0.0,2.0,0.0,0.0,,,,,,,,,
Jojayden,41.799385,-87.589653,0.0,0.0,0,0.0,2.0,0.0,1.0,,,,,,,,,
Mccormick Theological Seminary,41.795947999999996,-87.598824,0.0,0.0,0,1.0,2.0,1.0,0.0,9.0,11.0,13.0,,,,1.0,2.0,5.0
Save-A-Lot,41.809288,-87.605614,1.0,0.0,0,0.0,1.0,2.0,2.0,,,,,,,0.0,3.0,5.0
Nile Restaurant,41.795322,-87.59716,0.0,1.0,0,1.0,1.0,0.0,2.0,8.0,11.0,,,,,0.0,2.0,5.0
Native Foods Caf????,41.800468,-87.58824200000001,0.0,1.0,0,1.0,2.0,1.0,2.0,8.0,,,,,,0.0,2.0,
Hyde Park Manor Condominium Assoc,41.801204999999996,-87.593231,0.0,0.0,0,2.0,0.0,1.0,1.0,8.0,,,,,,1.0,2.0,
Hyde Park Self Storage,41.800694,-87.60601,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,1.0,2.0,
Ja Grill Hyde Park,41.800540999999996,-87.588669,0.0,1.0,0,2.0,2.0,1.0,1.0,,,,,,,1.0,2.0,
McDonald's,41.79504,-87.622948,0.0,1.0,0,1.0,0.0,2.0,1.0,9.0,11.0,,,,,0.0,3.0,4.0
Target,41.799782,-87.593674,0.0,0.0,0,1.0,2.0,0.0,0.0,8.0,,,,,,0.0,2.0,
Brown & Momen Inc,41.801140000000004,-87.605331,0.0,0.0,0,2.0,2.0,1.0,1.0,,,,,,,0.0,2.0,4.0
Erie Vehicle Company,41.802513,-87.623917,0.0,0.0,0,0.0,0.0,2.0,0.0,8.0,11.0,13.0,15.0,,,0.0,,
O'Reilly Auto Parts,41.808861,-87.606186,0.0,0.0,0,2.0,0.0,1.0,1.0,9.0,10.0,12.0,15.0,16.0,19.0,,,
Bill's Plumbing & Heating & Sewer,41.799957,-87.621338,0.0,0.0,0,0.0,2.0,2.0,2.0,9.0,10.0,13.0,,,,0.0,2.0,4.0
Chicago Chorale,41.795952,-87.598457,0.0,0.0,0,1.0,1.0,2.0,1.0,,,,,,,0.0,,
Second Faith Temple Church of God In Christ,41.805981,-87.615181,0.0,0.0,0,0.0,0.0,1.0,0.0,9.0,11.0,13.0,,,,,,
